idcaja_cierre_item#fecha_creado#creado_por#fk_idcaja_cierre#fk_idcaja_cierre_detalle#maquina
6360#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#1#PC2
6361#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#2#PC2
6362#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#3#PC2
6363#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#4#PC2
6364#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#5#PC2
6365#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#6#PC2
6366#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#7#PC2
6642#2023-01-21 13:58:51.538386#JUAN#11#285#PC2
6643#2023-01-21 13:58:51.538386#JUAN#11#286#PC2
6644#2023-01-21 13:58:51.538386#JUAN#11#287#PC2
6645#2023-01-21 13:58:51.538386#JUAN#11#288#PC2
6646#2023-01-21 13:58:51.538386#JUAN#11#289#PC2
6647#2023-01-21 13:58:51.538386#JUAN#11#290#PC2
6649#2023-01-21 21:54:52.922551#LUCY#12#291#PC2
6650#2023-01-21 21:54:52.922551#LUCY#12#292#PC2
6651#2023-01-21 21:54:52.922551#LUCY#12#293#PC2
6652#2023-01-21 21:54:52.922551#LUCY#12#294#PC2
6653#2023-01-21 21:54:52.922551#LUCY#12#295#PC2
6654#2023-01-21 21:54:52.922551#LUCY#12#296#PC2
6655#2023-01-21 21:54:52.922551#LUCY#12#297#PC2
6656#2023-01-21 21:54:52.922551#LUCY#12#298#PC2
6657#2023-01-21 21:54:52.922551#LUCY#12#299#PC2
6658#2023-01-21 21:54:52.922551#LUCY#12#300#PC2
6659#2023-01-21 21:54:52.922551#LUCY#12#301#PC2
6660#2023-01-21 21:54:52.922551#LUCY#12#302#PC2
6661#2023-01-21 21:54:52.922551#LUCY#12#303#PC2
6662#2023-01-21 21:54:52.922551#LUCY#12#304#PC2
6663#2023-01-21 21:54:52.922551#LUCY#12#305#PC2
6664#2023-01-21 21:54:52.922551#LUCY#12#306#PC2
6665#2023-01-21 21:54:52.922551#LUCY#12#307#PC2
6666#2023-01-21 21:54:52.922551#LUCY#12#308#PC2
